"country_name","p_year","country","origin","share","country_id"
"Austria",2009,"AT","Arabic",0.00492851539445453,10
"Austria",2009,"AT","China",0.00252525056662511,10
"Austria",2009,"AT","India",0.00444907060372053,10
"Austria",2009,"AT","Persian",0.0064113584791034,10
"Austria",2009,"AT","Slavic-Russian",0.00912236596957949,10
"Austria",2009,"AT","SouthEastAsia",0.00394798094744637,10
"Austria",2009,"AT","Turkey",0.0075613406040265,10
"Austria",1986,"AT","Arabic",0.000345893589542826,10
"Austria",1999,"AT","Arabic",0.00384703212346369,10
"Austria",2012,"AT","Arabic",0.00525660641678907,10
"Austria",2012,"AT","China",0.00121484248226187,10
"Austria",2012,"AT","India",0.00528685921527506,10
"Austria",2012,"AT","Persian",0.00405976066814915,10
"Austria",2012,"AT","Slavic-Russian",0.0111456744849627,10
"Austria",2012,"AT","SouthEastAsia",0.00266639105992004,10
"Austria",2012,"AT","Turkey",0.00462265444517147,10
"Austria",2013,"AT","Slavic-Russian",0.00900954986227666,10
"Austria",1989,"AT","Arabic",0.00446870719780687,10
"Austria",2002,"AT","Arabic",0.000836298856326183,10
"Austria",2015,"AT","Arabic",0.0045429554513472,10
"Austria",2015,"AT","China",0.00213523168380807,10
"Austria",2015,"AT","India",0.00866079113081703,10
"Austria",2015,"AT","Persian",0.00367995634315777,10
"Austria",2015,"AT","Slavic-Russian",0.0109069483547785,10
"Austria",2015,"AT","SouthEastAsia",0.00447217429280788,10
"Austria",2015,"AT","Turkey",0.00604569332864691,10
"Canada",1995,"CA","China",0.0357361295937913,2
"Canada",1990,"CA","Arabic",0.00854497369568626,2
"Canada",1990,"CA","India",0.0224091965435949,2
"Canada",1991,"CA","Arabic",0.010151791833436,2
"Canada",1994,"CA","China",0.0309146459330645,2
"Canada",1990,"CA","China",0.0225421967407322,2
"Canada",1994,"CA","India",0.0247101629038614,2
"Canada",1989,"CA","India",0.0279571376642126,2
"Canada",1991,"CA","China",0.023125172431217,2
"Canada",1986,"CA","India",0.0254629025438597,2
"Canada",1995,"CA","India",0.032229024610443,2
"Canada",1996,"CA","China",0.0383329491883813,2
"Canada",1996,"CA","Arabic",0.0170409097835862,2
"Canada",1992,"CA","China",0.0306893606564878,2
"Canada",1992,"CA","Arabic",0.0130321459425342,2
"Canada",1997,"CA","China",0.0425020089251016,2
"Canada",1993,"CA","China",0.0262668815513904,2
"Canada",1993,"CA","Arabic",0.0120446235691035,2
"Canada",1994,"CA","Arabic",0.0097182422721632,2
"Canada",1989,"CA","China",0.0277063794112053,2
"Canada",2007,"CA","Arabic",0.0276001311866244,2
"Canada",2003,"CA","Arabic",0.0209297055643524,2
"Canada",2003,"CA","China",0.0552315370202238,2
"Canada",1990,"CA","Persian",0.0123363921666105,2
"Canada",2004,"CA","Arabic",0.0212555731842852,2
"Canada",1991,"CA","India",0.0265939744136439,2
"Canada",1995,"CA","Persian",0.0110440197702904,2
"Canada",2009,"CA","Arabic",0.0341757510795738,2
"Canada",2005,"CA","Arabic",0.0251216082870024,2
"Canada",1992,"CA","India",0.0273468161932414,2
"Canada",2010,"CA","Arabic",0.0268657649195355,2
"Canada",1985,"CA","India",0.0228875421547992,2
"Canada",1993,"CA","India",0.0287233573417767,2
"Canada",1998,"CA","China",0.0416292874198647,2
"Canada",2007,"CA","China",0.0709056120764344,2
"Canada",1994,"CA","Persian",0.00695723910667178,2
"Canada",1995,"CA","Arabic",0.0146917347130572,2
"Canada",2008,"CA","Arabic",0.0216601402899391,2
"Canada",2008,"CA","China",0.0683327697004762,2
"Canada",1987,"CA","China",0.0176889349581735,2
"Canada",1987,"CA","India",0.0222502667167555,2
"Canada",1996,"CA","India",0.0274208526553488,2
"Canada",1997,"CA","Arabic",0.0228334135627291,2
"Canada",1988,"CA","India",0.0299633560030594,2
"Canada",2006,"CA","Arabic",0.0260068033934364,2
"Canada",1985,"CA","China",0.0138327602553,2
"Canada",1988,"CA","Slavic-Russian",0.00586997032663603,2
"Canada",1988,"CA","SouthEastAsia",0.0250573803599968,2
"Canada",1988,"CA","Turkey",0.0110946876662027,2
"Canada",1986,"CA","China",0.0190724250083405,2
"Canada",2014,"CA","Turkey",0.0133902409406727,2
"Canada",2003,"CA","India",0.0320550226111895,2
"Canada",1990,"CA","Slavic-Russian",0.00864641496920804,2
"Canada",2004,"CA","China",0.0583065928425634,2
"Canada",1991,"CA","Persian",0.00813698794967805,2
"Canada",1988,"CA","China",0.0110087715747697,2
"Canada",1991,"CA","SouthEastAsia",0.0200823927879027,2
"Canada",1991,"CA","Turkey",0.00565768517431302,2
"Canada",2004,"CA","Turkey",0.00638300678390719,2
"Canada",1992,"CA","Slavic-Russian",0.0097649565248909,2
"Canada",2006,"CA","China",0.0696419667618709,2
"Canada",1993,"CA","Persian",0.00964452290480168,2
"Canada",2001,"CA","Turkey",0.00890493541456884,2
"Canada",2007,"CA","India",0.0413992844598257,2
"Canada",1994,"CA","Slavic-Russian",0.0106893549696295,2
